"dataset_name","groupKeys","id","model_name","name","noise_std","test_best_historical_mse","test_best_historical_mse_Target_Bitcoin","test_best_historical_mse_Target_Ethereum"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking","92o3vx71","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking_seed1355526_tol1e-3","0.5","0.11496146736213388","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","ta8ldb34","nbeats","nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355522","1","0.228217864366801","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","6g51nlyf","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355520","1","0.16535411229327626","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std0_vsparsity_benchmarking","uu4iglzq","nbeats","nbeats_traffic_in672_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355524","0","0.15156163462621516","undefined","undefined"
"etth2","group-deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","gf2d58uu","deeptime","deeptime_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355518","0.5","0.14147042957842426","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0_vsparsity_benchmarking","byg1lw6h","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0_vsparsity_benchmarking_seed1355526_tol1e-3","0","0.09538138393370904","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","sypb2i5o","nbeats","nbeats_etth2_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355522","0.5","0.21472318778842991","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking","bnfuzlhp","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355520","0.5","0.12421297668396272","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking","94zwh8om","nbeats","nbeats_traffic_in672_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355523","1","0.3180667627562507","undefined","undefined"
"exchange_rate","group-nbeats_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarkinggenericFalse","nva6nuhx","nbeats","nbeats_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarkinggenericFalse_seed1355524","1","0.3021801893224606","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking","ttnj9j7d","nbeats","nbeats_etth2_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355522","0","0.22160446355745855","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarking","aabd13l9","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarking_seed1355520","0","0.0871792737503652","undefined","undefined"
"exchange_rate","group-nbeats_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarkinggenericFalse","zyl8c4jr","nbeats","nbeats_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarkinggenericFalse_seed1355524","0.5","0.4748753880138037","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking","jqd706ad","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std1.0_vsparsity_benchmarking_seed1355525_tol1e-3","1","0.13917072044270704","undefined","undefined"
"exchange_rate","group-nbeats_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarkinggenericFalse","f1kqww5x","nbeats","nbeats_exchange_rate_in288_out96_noise_laplace_std0_vsparsity_benchmarkinggenericFalse_seed1355524","0","0.7321795512354917","undefined","undefined"
"etth2","group-nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","jtoky1pd","nbeats","nbeats_etth2_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355521","1","0.2022328316751208","undefined","undefined"
"exchange_rate","group-deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking","59vu0c1d","deeptime","deeptime_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarking_seed1355519","1","0.1438268224165698","undefined","undefined"
"exchange_rate","group-nbeats_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarkinggenericFalse","yde0brzq","nbeats","nbeats_exchange_rate_in288_out96_noise_laplace_std1.0_vsparsity_benchmarkinggenericFalse_seed1355523","1","0.3395718005182023","undefined","undefined"
"traffic","group-nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking","3lwpse21","nbeats","nbeats_traffic_in672_out96_noise_laplace_std0.5_vsparsity_benchmarking_seed1355523","0.5","0.20499524158897456","undefined","undefined"
"exchange_rate","group-nbeats_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarkinggenericFalse","q1d4bpvk","nbeats","nbeats_exchange_rate_in288_out96_noise_laplace_std0.5_vsparsity_benchmarkinggenericFalse_seed1355523","0.5","0.33134034802697376","undefined","undefined"
"exchange_rate","group-omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking","nxuuo7fg","omp_deeptime","omp_deeptime_exchange_rate_in288_out96_nonzero45_noise_laplace_std0.5_vsparsity_benchmarking_seed1355525_tol1e-3","0.5","0.11108923247032368","undefined","undefined"
